Query Length,nDCG@10
7,0.6615241679902325
10,1.0
11,1.0
6,0.6131714739559342
15,0.6791380052428014
11,0.933745776545611
9,0.8200685179888283
15,0.9668728882728055
6,0.4508957537312557
13,0.94497705842548
10,0.8165901947515999
12,0.251902160397556
7,0.8899541168509599
10,0.9526058178152246
9,0.35060431998420216
8,0.9305687780632227
9,0.895863359683992
11,0.9289904714111865
11,0.7647219415186192
14,1.0
10,0.914856882358379
9,1.0
12,0.9159238567655447
12,0.8552385058825712
11,0.7306060974948361
8,0.741670249010153
12,1.0
13,1.0
25,0.5688607535165093
8,1.0
8,0.41612174670388413
13,0.5907762284257365
9,0.6426342890695593
13,0.3825661785112109
10,0.7975167679274937
11,0.914856882358379
13,0.5459983005237518
13,0.8919204669322514
12,0.9256180470797137
18,1.0
20,0.7951657524814092
9,1.0
13,0.7740186359307895
14,0.9668728882728055
9,1.0
12,0.9321572773044168
11,1.0
18,1.0
23,0.7647219415186192
13,0.560134527524607
