Query Length,nDCG@10
4,0.6599356687490384
6,0.9305687780632227
12,0.9608008655106622
6,0.5460946455297034
12,0.6452633738895557
5,1.0
5,0.8200685179888283
12,0.9334739949321357
4,0.5870552517785042
13,0.9574284411791895
5,0.6188656458779801
9,0.2567737273477602
4,0.8899541168509599
7,0.9633180389503199
6,0.21222636597291458
6,0.94497705842548
4,0.8135221979535759
6,0.9289904714111865
6,0.6957105256246896
10,1.0
7,0.8899541168509599
7,1.0
7,0.8473825580301494
8,0.8879972192424123
9,0.7389346265950472
5,0.7467045958894682
5,0.94497705842548
7,1.0
17,0.5838293097098765
7,1.0
4,0.43331313996555754
4,0.7096169262148199
4,0.7887125008147068
8,0.4369970816410284
4,1.0
6,0.7948833326720564
9,0.600611628644582
9,0.9052116356304493
7,0.9633180389503199
9,1.0
9,0.7720617383222417
8,0.9681896059005243
11,0.7690332326377134
7,0.9207464801295094
7,0.750713822137308
9,0.9321572773044168
8,1.0
10,1.0
10,0.6575294219562782
10,0.6177737233819177
